fit_time,score_time,test_roc_auc,test_f1_macro,test_balanced_accuracy,test_precision_macro,test_recall_macro
1.2284321784973145,0.022801876068115234,0.7087557709753621,0.6532995140561955,0.6535165056631906,0.6538941291207384,0.6535165056631906
1.1638298034667969,0.02320408821105957,0.7024994835313878,0.6529391932482855,0.652983055338489,0.6530570350363135,0.652983055338489
0.8954520225524902,0.022487163543701172,0.7069270791229914,0.6531841909023117,0.6532485875706214,0.6533583550602144,0.6532485875706214
0.9518301486968994,0.02247905731201172,0.7010831245003727,0.6406067618097491,0.6410690507306909,0.6417890088659655,0.6410690507306909
1.2341060638427734,0.01960301399230957,0.6967955929508771,0.6453914899854927,0.6455571349016015,0.6458357354781556,0.6455571349016015
1.187788963317871,0.02273702621459961,0.7167736654900163,0.6642436860965981,0.6646267559932815,0.6653933117211258,0.6646267559932815
1.1987509727478027,0.02153182029724121,0.7098322150665121,0.66298196471219,0.6633030244851033,0.6639383180466911,0.6633030244851033
1.1797688007354736,0.02257394790649414,0.691646064060072,0.6412862170140663,0.6413218115922503,0.6413806233562303,0.6413218115922503
1.0766301155090332,0.013386964797973633,0.6966509200681089,0.6440629510456833,0.6441441441441441,0.644275787627336,0.6441441441441441
0.9929521083831787,0.011232137680053711,0.7185582664868179,0.6655883758035575,0.665606783253842,0.6656432541148347,0.665606783253842
